device_id,n_train_windows,n_val_windows,lstm_top2,n_test_windows,n_outlier,n_warning,warning_rate,po_ao,po_ai,pi_ao,pi_ai,po_ao_rate,po_ai_rate,pi_ao_rate
116,294,134,"v7,v6",46,24,25,54.3478,21,4,3,18,45.6522,8.6957,6.5217
121,294,134,"v7,v4",46,0,14,30.4348,0,14,0,32,0.0,30.4348,0.0
123,246,110,"v4,v2",46,0,7,15.2174,0,7,0,39,0.0,15.2174,0.0
170,358,166,"v4,v6",70,17,11,15.7143,8,3,9,50,11.4286,4.2857,12.8571
171,358,166,"v1,v7",70,0,30,42.8571,0,30,0,40,0.0,42.8571,0.0
241,390,182,"v1,v2",70,15,8,11.4286,2,6,13,49,2.8571,8.5714,18.5714
247,422,198,"v7,v4",70,12,10,14.2857,4,6,8,52,5.7143,8.5714,11.4286
259,454,214,"v4,v7",94,3,0,0.0,0,0,3,91,0.0,0.0,3.1915
261,364,170,"v6,v2",69,7,6,8.6957,6,0,1,62,8.6957,0.0,1.4493
262,364,170,"v1,v6",69,31,25,36.2319,20,5,11,33,28.9855,7.2464,15.942
263,372,174,"v7,v1",70,12,0,0.0,0,0,12,58,0.0,0.0,17.1429
264,372,174,"v7,v2",70,0,0,0.0,0,0,0,70,0.0,0.0,0.0
265,372,174,"v1,v7",70,0,0,0.0,0,0,0,70,0.0,0.0,0.0
266,372,174,"v6,v1",70,23,15,21.4286,13,2,10,45,18.5714,2.8571,14.2857
267,373,174,"v7,v6",70,0,0,0.0,0,0,0,70,0.0,0.0,0.0
268,373,174,"v7,v1",70,11,7,10.0,1,6,10,53,1.4286,8.5714,14.2857
269,373,174,"v6,v1",58,0,0,0.0,0,0,0,58,0.0,0.0,0.0
270,373,174,"v1,v7",70,0,0,0.0,0,0,0,70,0.0,0.0,0.0
283,262,118,"v7,v6",46,1,1,2.1739,1,0,0,45,2.1739,0.0,0.0
286,160,67,"v4,v1",118,28,44,37.2881,18,26,10,64,15.2542,22.0339,8.4746
289,374,174,"v4,v7",70,10,6,8.5714,1,5,9,55,1.4286,7.1429,12.8571
296,116,45,"v4,v7",70,12,31,44.2857,7,24,5,34,10.0,34.2857,7.1429
297,116,45,"v4,v7",70,15,17,24.2857,7,10,8,45,10.0,14.2857,11.4286
298,116,45,"v7,v4",70,14,9,12.8571,7,2,7,54,10.0,2.8571,10.0
299,202,88,"v4,v7",70,28,12,17.1429,12,0,16,42,17.1429,0.0,22.8571
300,202,88,"v4,v2",70,19,9,12.8571,7,2,12,49,10.0,2.8571,17.1429
