date,meter_urn,measurement,anomaly_hours,anomaly_count,max_z_score,target_mean,baseline_mean
2023-03-03,H1.Z26,W_out,"['2023-03-03 14:00:00+00:00', '2023-03-03 15:00:00+00:00', '2023-03-03 16:00:00+00:00', '2023-03-03 17:00:00+00:00', '2023-03-03 18:00:00+00:00', '2023-03-03 19:00:00+00:00', '2023-03-03 20:00:00+00:00', '2023-03-03 21:00:00+00:00', '2023-03-03 22:00:00+00:00', '2023-03-03 23:00:00+00:00']",10,86.497,921.935,920.941
2023-03-03,H2.Z61,P,['2023-03-03 13:00:00+00:00'],1,27.974,12828.587,12943.02
2023-03-03,H2.ZE67,W3,"['2023-03-03 00:00:00+00:00', '2023-03-03 01:00:00+00:00', '2023-03-03 02:00:00+00:00', '2023-03-03 03:00:00+00:00', '2023-03-03 04:00:00+00:00', '2023-03-03 05:00:00+00:00', '2023-03-03 06:00:00+00:00', '2023-03-03 07:00:00+00:00', '2023-03-03 08:00:00+00:00', '2023-03-03 09:00:00+00:00', '2023-03-03 10:00:00+00:00', '2023-03-03 11:00:00+00:00', '2023-03-03 12:00:00+00:00', '2023-03-03 13:00:00+00:00', '2023-03-03 14:00:00+00:00', '2023-03-03 15:00:00+00:00', '2023-03-03 16:00:00+00:00', '2023-03-03 17:00:00+00:00', '2023-03-03 18:00:00+00:00', '2023-03-03 19:00:00+00:00', '2023-03-03 20:00:00+00:00', '2023-03-03 21:00:00+00:00', '2023-03-03 22:00:00+00:00', '2023-03-03 23:00:00+00:00']",24,18.476,6311.197,6284.15
2023-03-03,H2.ZE67,W2,"['2023-03-03 00:00:00+00:00', '2023-03-03 01:00:00+00:00', '2023-03-03 02:00:00+00:00', '2023-03-03 03:00:00+00:00', '2023-03-03 04:00:00+00:00', '2023-03-03 05:00:00+00:00', '2023-03-03 06:00:00+00:00', '2023-03-03 07:00:00+00:00', '2023-03-03 08:00:00+00:00', '2023-03-03 09:00:00+00:00', '2023-03-03 10:00:00+00:00', '2023-03-03 11:00:00+00:00', '2023-03-03 12:00:00+00:00', '2023-03-03 13:00:00+00:00', '2023-03-03 14:00:00+00:00', '2023-03-03 15:00:00+00:00', '2023-03-03 16:00:00+00:00', '2023-03-03 17:00:00+00:00', '2023-03-03 18:00:00+00:00', '2023-03-03 19:00:00+00:00', '2023-03-03 20:00:00+00:00', '2023-03-03 21:00:00+00:00', '2023-03-03 22:00:00+00:00', '2023-03-03 23:00:00+00:00']",24,18.39,6175.946,6149.622
2023-03-03,H2.Z66,PF1,"['2023-03-03 05:00:00+00:00', '2023-03-03 07:00:00+00:00', '2023-03-03 09:00:00+00:00', '2023-03-03 10:00:00+00:00', '2023-03-03 11:00:00+00:00', '2023-03-03 12:00:00+00:00']",6,18.248,0.79,0.827
2023-03-03,H2.Z67,W,"['2023-03-03 00:00:00+00:00', '2023-03-03 01:00:00+00:00', '2023-03-03 02:00:00+00:00', '2023-03-03 03:00:00+00:00', '2023-03-03 04:00:00+00:00', '2023-03-03 05:00:00+00:00', '2023-03-03 06:00:00+00:00', '2023-03-03 07:00:00+00:00', '2023-03-03 08:00:00+00:00', '2023-03-03 09:00:00+00:00', '2023-03-03 10:00:00+00:00', '2023-03-03 11:00:00+00:00', '2023-03-03 12:00:00+00:00', '2023-03-03 13:00:00+00:00', '2023-03-03 14:00:00+00:00', '2023-03-03 15:00:00+00:00', '2023-03-03 16:00:00+00:00', '2023-03-03 17:00:00+00:00', '2023-03-03 18:00:00+00:00', '2023-03-03 19:00:00+00:00', '2023-03-03 20:00:00+00:00', '2023-03-03 21:00:00+00:00', '2023-03-03 22:00:00+00:00', '2023-03-03 23:00:00+00:00']",24,17.633,195882.767,195800.488
2023-03-03,H2.Z67,W_in,"['2023-03-03 00:00:00+00:00', '2023-03-03 01:00:00+00:00', '2023-03-03 02:00:00+00:00', '2023-03-03 03:00:00+00:00', '2023-03-03 04:00:00+00:00', '2023-03-03 05:00:00+00:00', '2023-03-03 06:00:00+00:00', '2023-03-03 07:00:00+00:00', '2023-03-03 08:00:00+00:00', '2023-03-03 09:00:00+00:00', '2023-03-03 10:00:00+00:00', '2023-03-03 11:00:00+00:00', '2023-03-03 12:00:00+00:00', '2023-03-03 13:00:00+00:00', '2023-03-03 14:00:00+00:00', '2023-03-03 15:00:00+00:00', '2023-03-03 16:00:00+00:00', '2023-03-03 17:00:00+00:00', '2023-03-03 18:00:00+00:00', '2023-03-03 19:00:00+00:00', '2023-03-03 20:00:00+00:00', '2023-03-03 21:00:00+00:00', '2023-03-03 22:00:00+00:00', '2023-03-03 23:00:00+00:00']",24,17.632,195882.757,195800.469
2023-03-03,H2.ZE67,W,"['2023-03-03 00:00:00+00:00', '2023-03-03 01:00:00+00:00', '2023-03-03 02:00:00+00:00', '2023-03-03 03:00:00+00:00', '2023-03-03 04:00:00+00:00', '2023-03-03 05:00:00+00:00', '2023-03-03 06:00:00+00:00', '2023-03-03 07:00:00+00:00', '2023-03-03 08:00:00+00:00', '2023-03-03 09:00:00+00:00', '2023-03-03 10:00:00+00:00', '2023-03-03 11:00:00+00:00', '2023-03-03 12:00:00+00:00', '2023-03-03 13:00:00+00:00', '2023-03-03 14:00:00+00:00', '2023-03-03 15:00:00+00:00', '2023-03-03 16:00:00+00:00', '2023-03-03 17:00:00+00:00', '2023-03-03 18:00:00+00:00', '2023-03-03 19:00:00+00:00', '2023-03-03 20:00:00+00:00', '2023-03-03 21:00:00+00:00', '2023-03-03 22:00:00+00:00', '2023-03-03 23:00:00+00:00']",24,17.533,18693.384,18612.36
2023-03-03,H2.ZE67,W_in,"['2023-03-03 00:00:00+00:00', '2023-03-03 01:00:00+00:00', '2023-03-03 02:00:00+00:00', '2023-03-03 03:00:00+00:00', '2023-03-03 04:00:00+00:00', '2023-03-03 05:00:00+00:00', '2023-03-03 06:00:00+00:00', '2023-03-03 07:00:00+00:00', '2023-03-03 08:00:00+00:00', '2023-03-03 09:00:00+00:00', '2023-03-03 10:00:00+00:00', '2023-03-03 11:00:00+00:00', '2023-03-03 12:00:00+00:00', '2023-03-03 13:00:00+00:00', '2023-03-03 14:00:00+00:00', '2023-03-03 15:00:00+00:00', '2023-03-03 16:00:00+00:00', '2023-03-03 17:00:00+00:00', '2023-03-03 18:00:00+00:00', '2023-03-03 19:00:00+00:00', '2023-03-03 20:00:00+00:00', '2023-03-03 21:00:00+00:00', '2023-03-03 22:00:00+00:00', '2023-03-03 23:00:00+00:00']",24,17.525,18696.583,18615.551
2023-03-03,H2.Z67,WQ,"['2023-03-03 00:00:00+00:00', '2023-03-03 01:00:00+00:00', '2023-03-03 02:00:00+00:00', '2023-03-03 03:00:00+00:00', '2023-03-03 04:00:00+00:00', '2023-03-03 05:00:00+00:00', '2023-03-03 06:00:00+00:00', '2023-03-03 07:00:00+00:00', '2023-03-03 08:00:00+00:00', '2023-03-03 09:00:00+00:00', '2023-03-03 10:00:00+00:00', '2023-03-03 11:00:00+00:00', '2023-03-03 12:00:00+00:00', '2023-03-03 13:00:00+00:00', '2023-03-03 14:00:00+00:00', '2023-03-03 15:00:00+00:00', '2023-03-03 16:00:00+00:00', '2023-03-03 17:00:00+00:00', '2023-03-03 18:00:00+00:00', '2023-03-03 19:00:00+00:00', '2023-03-03 20:00:00+00:00', '2023-03-03 21:00:00+00:00', '2023-03-03 22:00:00+00:00', '2023-03-03 23:00:00+00:00']",24,16.561,138473.753,138409.065
