meter_urn,row_count,measurement_count,measurement_columns,joined_weather_columns,usable_column_count,usable_columns,start_ts,end_ts,mean_null_ratio_usable,target_column,top_corr_with_target_column,top_corr_with_target_value,top_abs_corr_with_target_value,error
H1.Z20,52585.0,22.0,"I1,I2,I3,P,P1,P2,P3,PF,PF1,PF2,PF3,Q,U1,U2,U3,W,WQ,WQ_in,WQ_out,W_in,W_out,f","Ah,Dc,Dp,H,Igc,Igm,Sc,Ta,Ua,rho",32.0,"I1,I2,I3,P,P1,P2,P3,PF,PF1,PF2,PF3,Q,U1,U2,U3,W,WQ,WQ_in,WQ_out,W_in,W_out,f,Ah,Dc,Dp,H,Igc,Igm,Sc,Ta,Ua,rho",2018-01-01 00:00:00+00:00,2024-01-01 00:00:00+00:00,0.0074,P,P1,0.9996,0.9996,
H1.ZE20,9519.0,21.0,"I1,I2,I3,P,P1,P2,P3,PF,PF1,PF2,PF3,U1,U2,U3,W,W1,W2,W3,W_in,W_out,f","Ah,Dc,Dp,H,Igc,Igm,Sc,Ta,Ua,rho",31.0,"I1,I2,I3,P,P1,P2,P3,PF,PF1,PF2,PF3,U1,U2,U3,W,W1,W2,W3,W_in,W_out,f,Ah,Dc,Dp,H,Igc,Igm,Sc,Ta,Ua,rho",2022-11-30 08:00:00+00:00,2023-12-31 22:00:00+00:00,0.0,P,P2,1.0,1.0,
V.Z84,39529.0,16.0,"I1,I2,I3,P,P1,P2,P3,PF1,PF2,PF3,U1,U2,U3,W,W_in,W_out","Ah,Dc,Dp,H,Igc,Igm,Sc,Ta,Ua,rho",26.0,"I1,I2,I3,P,P1,P2,P3,PF1,PF2,PF3,U1,U2,U3,W,W_in,W_out,Ah,Dc,Dp,H,Igc,Igm,Sc,Ta,Ua,rho",2019-06-28 22:00:00+00:00,2023-12-31 22:00:00+00:00,0.0059,P,P3,1.0,1.0,
V.ZE84,9680.0,21.0,"I1,I2,I3,P,P1,P2,P3,PF,PF1,PF2,PF3,U1,U2,U3,W,W1,W2,W3,W_in,W_out,f","Ah,Dc,Dp,H,Igc,Igm,Sc,Ta,Ua,rho",31.0,"I1,I2,I3,P,P1,P2,P3,PF,PF1,PF2,PF3,U1,U2,U3,W,W1,W2,W3,W_in,W_out,f,Ah,Dc,Dp,H,Igc,Igm,Sc,Ta,Ua,rho",2022-11-23 15:00:00+00:00,2023-12-31 22:00:00+00:00,0.0025,P,P1,0.9968,0.9968,
H1.Z310,30817.0,21.0,"I1,I2,I3,P,P1,P2,P3,PF,PF1,PF2,PF3,U1,U2,U3,W,W1,W2,W3,W_in,W_out,f","Ah,Dc,Dp,H,Igc,Igm,Sc,Ta,Ua,rho",31.0,"I1,I2,I3,P,P1,P2,P3,PF,PF1,PF2,PF3,U1,U2,U3,W,W1,W2,W3,W_in,W_out,f,Ah,Dc,Dp,H,Igc,Igm,Sc,Ta,Ua,rho",2020-06-25 22:00:00+00:00,2023-12-31 22:00:00+00:00,0.004,P,P3,1.0,1.0,
H2.Z311,30841.0,21.0,"I1,I2,I3,P,P1,P2,P3,PF,PF1,PF2,PF3,U1,U2,U3,W,W1,W2,W3,W_in,W_out,f","Ah,Dc,Dp,H,Igc,Igm,Sc,Ta,Ua,rho",31.0,"I1,I2,I3,P,P1,P2,P3,PF,PF1,PF2,PF3,U1,U2,U3,W,W1,W2,W3,W_in,W_out,f,Ah,Dc,Dp,H,Igc,Igm,Sc,Ta,Ua,rho",2020-06-24 22:00:00+00:00,2023-12-31 22:00:00+00:00,0.0039,P,P1,1.0,1.0,
H3.Z312,30817.0,21.0,"I1,I2,I3,P,P1,P2,P3,PF,PF1,PF2,PF3,U1,U2,U3,W,W1,W2,W3,W_in,W_out,f","Ah,Dc,Dp,H,Igc,Igm,Sc,Ta,Ua,rho",31.0,"I1,I2,I3,P,P1,P2,P3,PF,PF1,PF2,PF3,U1,U2,U3,W,W1,W2,W3,W_in,W_out,f,Ah,Dc,Dp,H,Igc,Igm,Sc,Ta,Ua,rho",2020-06-25 22:00:00+00:00,2023-12-31 22:00:00+00:00,0.004,P,P1,1.0,1.0,
H1.Z16,52585.0,22.0,"I1,I2,I3,P,P1,P2,P3,PF,PF1,PF2,PF3,Q,U1,U2,U3,W,WQ,WQ_in,WQ_out,W_in,W_out,f","Ah,Dc,Dp,H,Igc,Igm,Sc,Ta,Ua,rho",30.0,"I1,I2,I3,P,P1,P2,P3,PF,PF1,PF2,PF3,Q,U1,U2,U3,W,WQ,WQ_in,W_in,f,Ah,Dc,Dp,H,Igc,Igm,Sc,Ta,Ua,rho",2018-01-01 00:00:00+00:00,2024-01-01 00:00:00+00:00,0.008,P,P2,1.0,1.0,
H1.Z11,52585.0,22.0,"I1,I2,I3,P,P1,P2,P3,PF,PF1,PF2,PF3,Q,U1,U2,U3,W,WQ,WQ_in,WQ_out,W_in,W_out,f","Ah,Dc,Dp,H,Igc,Igm,Sc,Ta,Ua,rho",32.0,"I1,I2,I3,P,P1,P2,P3,PF,PF1,PF2,PF3,Q,U1,U2,U3,W,WQ,WQ_in,WQ_out,W_in,W_out,f,Ah,Dc,Dp,H,Igc,Igm,Sc,Ta,Ua,rho",2018-01-01 00:00:00+00:00,2024-01-01 00:00:00+00:00,0.0081,P,P2,0.9881,0.9881,
H1.Z12,52585.0,22.0,"I1,I2,I3,P,P1,P2,P3,PF,PF1,PF2,PF3,Q,U1,U2,U3,W,WQ,WQ_in,WQ_out,W_in,W_out,f","Ah,Dc,Dp,H,Igc,Igm,Sc,Ta,Ua,rho",32.0,"I1,I2,I3,P,P1,P2,P3,PF,PF1,PF2,PF3,Q,U1,U2,U3,W,WQ,WQ_in,WQ_out,W_in,W_out,f,Ah,Dc,Dp,H,Igc,Igm,Sc,Ta,Ua,rho",2018-01-01 00:00:00+00:00,2024-01-01 00:00:00+00:00,0.0079,P,P2,0.988,0.988,
