meter_urn,period_type,period_label,row_count,measurement_count,measurement_columns,joined_weather_columns,usable_column_count,usable_columns,start_ts,end_ts,mean_null_ratio_usable,pair_count,top_pair,top_corr,top_abs_corr,error
H1.Z10,seasonal,Winter,12985,22,"I1,I2,I3,P,P1,P2,P3,PF,PF1,PF2,PF3,Q,U1,U2,U3,W,WQ,WQ_in,WQ_out,W_in,W_out,f","Ah,Dc,Dp,H,Igc,Igm,Sc,Ta,Ua,rho",32,"I1,I2,I3,P,P1,P2,P3,PF,PF1,PF2,PF3,Q,U1,U2,U3,W,WQ,WQ_in,WQ_out,W_in,W_out,f,Ah,Dc,Dp,H,Igc,Igm,Sc,Ta,Ua,rho",2018-01-01 00:00:00+00:00,2024-01-01 00:00:00+00:00,0.002946,496,W~W_in,1.0,1.0,
H1.Z10,seasonal,Spring,13248,22,"I1,I2,I3,P,P1,P2,P3,PF,PF1,PF2,PF3,Q,U1,U2,U3,W,WQ,WQ_in,WQ_out,W_in,W_out,f","Ah,Dc,Dp,H,Igc,Igm,Sc,Ta,Ua,rho",32,"I1,I2,I3,P,P1,P2,P3,PF,PF1,PF2,PF3,Q,U1,U2,U3,W,WQ,WQ_in,WQ_out,W_in,W_out,f,Ah,Dc,Dp,H,Igc,Igm,Sc,Ta,Ua,rho",2018-03-01 00:00:00+00:00,2023-05-31 23:00:00+00:00,0.004057,496,W~W_in,1.0,1.0,
H1.Z10,seasonal,Summer,13248,22,"I1,I2,I3,P,P1,P2,P3,PF,PF1,PF2,PF3,Q,U1,U2,U3,W,WQ,WQ_in,WQ_out,W_in,W_out,f","Ah,Dc,Dp,H,Igc,Igm,Sc,Ta,Ua,rho",32,"I1,I2,I3,P,P1,P2,P3,PF,PF1,PF2,PF3,Q,U1,U2,U3,W,WQ,WQ_in,WQ_out,W_in,W_out,f,Ah,Dc,Dp,H,Igc,Igm,Sc,Ta,Ua,rho",2018-06-01 00:00:00+00:00,2023-08-31 23:00:00+00:00,0.008586,496,W~W_in,1.0,1.0,
H1.Z10,seasonal,Autumn,13104,22,"I1,I2,I3,P,P1,P2,P3,PF,PF1,PF2,PF3,Q,U1,U2,U3,W,WQ,WQ_in,WQ_out,W_in,W_out,f","Ah,Dc,Dp,H,Igc,Igm,Sc,Ta,Ua,rho",32,"I1,I2,I3,P,P1,P2,P3,PF,PF1,PF2,PF3,Q,U1,U2,U3,W,WQ,WQ_in,WQ_out,W_in,W_out,f,Ah,Dc,Dp,H,Igc,Igm,Sc,Ta,Ua,rho",2018-09-01 00:00:00+00:00,2023-11-30 23:00:00+00:00,0.015596,496,W~W_in,1.0,1.0,
H1.Z16,seasonal,Winter,12985,22,"I1,I2,I3,P,P1,P2,P3,PF,PF1,PF2,PF3,Q,U1,U2,U3,W,WQ,WQ_in,WQ_out,W_in,W_out,f","Ah,Dc,Dp,H,Igc,Igm,Sc,Ta,Ua,rho",30,"I1,I2,I3,P,P1,P2,P3,PF,PF1,PF2,PF3,Q,U1,U2,U3,W,WQ,WQ_in,W_in,f,Ah,Dc,Dp,H,Igc,Igm,Sc,Ta,Ua,rho",2018-01-01 00:00:00+00:00,2024-01-01 00:00:00+00:00,0.001735,435,W~W_in,1.0,1.0,
H1.Z16,seasonal,Spring,13248,22,"I1,I2,I3,P,P1,P2,P3,PF,PF1,PF2,PF3,Q,U1,U2,U3,W,WQ,WQ_in,WQ_out,W_in,W_out,f","Ah,Dc,Dp,H,Igc,Igm,Sc,Ta,Ua,rho",30,"I1,I2,I3,P,P1,P2,P3,PF,PF1,PF2,PF3,Q,U1,U2,U3,W,WQ,WQ_in,W_in,f,Ah,Dc,Dp,H,Igc,Igm,Sc,Ta,Ua,rho",2018-03-01 00:00:00+00:00,2023-05-31 23:00:00+00:00,0.004328,435,W~W_in,1.0,1.0,
H1.Z16,seasonal,Summer,13248,22,"I1,I2,I3,P,P1,P2,P3,PF,PF1,PF2,PF3,Q,U1,U2,U3,W,WQ,WQ_in,WQ_out,W_in,W_out,f","Ah,Dc,Dp,H,Igc,Igm,Sc,Ta,Ua,rho",30,"I1,I2,I3,P,P1,P2,P3,PF,PF1,PF2,PF3,Q,U1,U2,U3,W,WQ,WQ_in,W_in,f,Ah,Dc,Dp,H,Igc,Igm,Sc,Ta,Ua,rho",2018-06-01 00:00:00+00:00,2023-08-31 23:00:00+00:00,0.009159,435,W~W_in,1.0,1.0,
H1.Z16,seasonal,Autumn,13104,22,"I1,I2,I3,P,P1,P2,P3,PF,PF1,PF2,PF3,Q,U1,U2,U3,W,WQ,WQ_in,WQ_out,W_in,W_out,f","Ah,Dc,Dp,H,Igc,Igm,Sc,Ta,Ua,rho",30,"I1,I2,I3,P,P1,P2,P3,PF,PF1,PF2,PF3,Q,U1,U2,U3,W,WQ,WQ_in,W_in,f,Ah,Dc,Dp,H,Igc,Igm,Sc,Ta,Ua,rho",2018-09-01 00:00:00+00:00,2023-11-30 23:00:00+00:00,0.016636,435,W~W_in,1.0,1.0,
H1.Z13,seasonal,Winter,12985,22,"I1,I2,I3,P,P1,P2,P3,PF,PF1,PF2,PF3,Q,U1,U2,U3,W,WQ,WQ_in,WQ_out,W_in,W_out,f","Ah,Dc,Dp,H,Igc,Igm,Sc,Ta,Ua,rho",32,"I1,I2,I3,P,P1,P2,P3,PF,PF1,PF2,PF3,Q,U1,U2,U3,W,WQ,WQ_in,WQ_out,W_in,W_out,f,Ah,Dc,Dp,H,Igc,Igm,Sc,Ta,Ua,rho",2018-01-01 00:00:00+00:00,2024-01-01 00:00:00+00:00,0.003711,496,W~W_in,1.0,1.0,
H1.Z13,seasonal,Spring,13248,22,"I1,I2,I3,P,P1,P2,P3,PF,PF1,PF2,PF3,Q,U1,U2,U3,W,WQ,WQ_in,WQ_out,W_in,W_out,f","Ah,Dc,Dp,H,Igc,Igm,Sc,Ta,Ua,rho",32,"I1,I2,I3,P,P1,P2,P3,PF,PF1,PF2,PF3,Q,U1,U2,U3,W,WQ,WQ_in,WQ_out,W_in,W_out,f,Ah,Dc,Dp,H,Igc,Igm,Sc,Ta,Ua,rho",2018-03-01 00:00:00+00:00,2023-05-31 23:00:00+00:00,0.004057,496,W~W_in,1.0,1.0,
