meter_urn,meter_group,equipment_group
H1.K11,H1,hvac_thermal
H1.K12,H1,hvac_thermal
H1.K14,H1,hvac_thermal
H1.K15,H1,hvac_thermal
H1.K16,H1,server_thermal
H1.W11,H1,heat_generation
H1.W12,H1,chp_heat_generation
H1.Z10,H1,emission_lab
H1.Z11,H1,central_cooling
H1.Z12,H1,central_cooling
H1.Z13,H1,emission_lab
H1.Z14,H1,emission_lab
H1.Z15,H1,emission_lab
H1.Z16,H1,emission_lab
H1.Z17,H1,emission_lab
H1.Z18,H1,emission_lab
H1.Z19,H1,emission_lab
H1.Z20,H1,chp
H1.Z21,H1,emission_lab
H1.Z22,H1,emission_lab
H1.Z23,H1,emission_lab
H1.Z24,H1,central_cooling
H1.Z25,H1,central_cooling
H1.Z26,H1,emission_lab
H1.Z27,H1,emission_lab
H1.Z28,H1,emission_lab
H1.Z29,H1,emission_lab
H1.Z310,H1,pv
H1.ZE20,H1,chp
H2.K21,H2,hvac_thermal
H2.T.Z30,H2,office_distribution
H2.T.Z31,H2,ventilation
H2.T.Z32,H2,office_distribution
H2.T.Z33,H2,design_studio
H2.T.Z34,H2,workshop_test
H2.Z311,H2,pv
H2.Z35,H2,grid_transformer
H2.Z351,H2,grid_transformer
H2.Z36,H2,grid_transformer
H2.Z361,H2,grid_transformer
H2.Z61,H2,server_power
H2.Z62,H2,server_power
H2.Z63,H2,server_power
H2.Z64,H2,server_power
H2.Z65,H2,server_power
H2.Z66,H2,local_cooling
H2.Z67,H2,local_cooling
H2.Z68,H2,ventilation
H2.Z69,H2,ventilation
H2.Z70,H2,ventilation
H2.ZE64,H2,server_power
H2.ZE65,H2,server_power
H2.ZE66,H2,local_cooling
H2.ZE67,H2,local_cooling
H2.ZE74,H2,workshop_test
H3.Z312,H3,pv
H3.Z40,H3,design_studio
H3.Z41,H3,design_studio
H3.Z42,H3,ventilation
H3.Z43,H3,server_power
H3.Z44,H3,server_power
H3.Z45,H3,local_cooling
H3.Z46,H3,server_power
H3.Z47,H3,design_studio
H3.Z48,H3,design_studio
H3.Z49,H3,design_studio
H3.Z71,H3,server_power
H3.ZE40,H3,design_studio
H3.ZE41,H3,design_studio
H3.ZE43,H3,server_power
H3.ZE44,H3,server_power
H4.Z50,H4,office_distribution
H4.Z51,H4,office_distribution
H4.ZE50,H4,office_distribution
H4.ZE51,H4,office_distribution
V.K21,V,cooling_thermal
V.Z81,V,grid_transformer
V.Z82,V,grid_transformer
V.Z84,V,pv
V.ZE84,V,pv
WeatherStation.Weather,WeatherStation,weather_station
