week,weekday,P,Tdiff,Trl,Tvl,V,W,qv,hour
48,4,266737.03623188403,13934.326324542648,63.98980755523877,78.19057971014493,436468576.5217391,5545895.869565218,16.673637681159423,12.0
48,5,216735.82638888888,11385.041666666666,64.06840277777778,75.53368055555556,436862984.5833333,5551695.833333333,16.73604166666667,11.5
48,6,235067.06597222222,12326.611111111111,63.93958333333333,76.34027777777779,437266132.9166667,5557115.208333333,16.77958333333334,11.5
49,0,285975.84375,14921.083333333334,64.01736111111111,78.88541666666667,437669669.5833333,5563357.916666667,16.814583333333335,11.5
49,1,264655.797008547,13827.194978632479,64.05948183760684,78.13980862133036,438073662.0833333,5570031.666666667,16.795138888888893,11.5
49,2,253353.45833333334,13435.770833333334,63.822916666666664,77.54965277777778,438469548.3333333,5576053.541666667,16.44803472222223,11.5
49,3,268445.1909722222,13989.805555555555,63.97083333333333,78.28819444444444,438871763.3333333,5582303.125,16.825736111111116,11.5
49,4,265914.58680555556,13855.461805555555,63.97222222222222,78.15833333333333,439276705.0,5588874.236111111,16.868638888888892,11.5
49,5,118021.76736111111,8333.107638888889,62.057291666666664,70.46319444444445,439635337.9166667,5593687.5,12.137305555555558,11.5
49,6,51055.885416666664,4323.461805555556,62.49201388888889,66.81597222222221,439911110.0,5595702.083333333,11.585072916666668,11.5
50,0,117877.59722222223,7236.552083333333,64.2142361111111,71.484375,440215537.9166667,5597770.0,12.85521527777778,11.5
50,1,185957.20138888888,12763.364583333334,59.92048611111111,72.74270833333334,440484236.25,5600563.958333333,12.31596180555556,11.5
50,2,298279.63194444444,15494.829861111111,64.37361111111112,79.97569444444444,440855747.0833333,5606977.916666667,16.88769444444445,11.5
50,3,298044.58680555556,15465.62152777778,64.31493055555556,79.93819444444445,441261374.5833333,5614138.75,16.910638888888894,11.5
50,4,297964.94444444444,15451.15277777778,64.29722222222222,79.9329861111111,441667284.5833333,5621287.083333333,16.916277777777783,11.5
50,5,295329.81944444444,15356.361111111111,64.19791666666667,79.809375,442072830.0,5628424.166666667,16.87408333333334,11.5
50,6,296554.2361111111,15414.482638888889,64.14895833333334,79.840625,442477927.5,5635518.75,16.881277777777782,11.5
51,0,296404.4097222222,15358.211805555555,64.18611111111112,79.73194444444444,442883660.0,5642638.333333333,16.947583333333338,11.5
51,1,296749.4826388889,15382.791666666666,64.22500000000001,79.78541666666666,443289992.9166667,5649757.916666667,16.93144444444445,11.5
51,2,298018.1701388889,15450.5,64.33229166666666,79.93055555555556,443696150.0,5656903.333333333,16.935152777777784,11.5
51,3,298752.63194444444,15502.138888888889,64.32881944444445,79.96527777777777,444102147.0833333,5664069.166666667,16.916083333333336,11.5
51,4,299026.0659722222,15511.430555555555,64.32395833333334,79.96909722222222,444507965.0,5671245.0,16.91219444444445,11.5
51,5,288396.2013888889,15008.236111111111,64.22256944444445,79.40069444444444,444913388.3333333,5678325.416666667,16.85716666666667,11.5
51,6,264495.3958333333,13781.27777777778,64.21979166666667,78.12743055555556,445318135.4166667,5685015.0,16.853677083333338,11.5
52,0,269637.4097222222,14036.579861111111,64.21875,78.41875,445723174.5833333,5691363.333333333,16.861444444444448,11.5
52,1,277850.27430555556,14462.892361111111,64.24826388888889,78.85208333333334,446128214.5833333,5697859.166666667,16.870777777777782,11.5
52,2,298218.3576388889,15468.510416666666,64.26979166666668,79.93472222222222,446533695.0,5704850.416666667,16.92269444444445,11.5
52,3,293689.0277777778,15245.701388888889,64.26493055555555,79.72812499999999,446939575.8333333,5711948.75,16.898777777777784,11.5
52,4,293804.8333333333,15260.96875,64.28645833333333,79.76527777777777,447345210.4166667,5719010.416666667,16.896444444444448,11.5
52,5,276216.7781762295,14376.580202641167,64.17083333333333,78.79930555555556,447750614.1666667,5725835.347222223,16.86805555555556,11.5
52,6,291518.9877000942,15156.647400247175,64.18873519235281,79.63417658730158,448155705.0,5732693.125,16.878730158730164,11.5
